Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MA20,RSI14,Bollinger_Upper,Bollinger_Lower,Annual_Dividend_Yield
2020-01-02,59.45237909599356,59.74123764038086,58.946878543150994,59.74123764038086,23753600,0.0,0.0,56.535044288635255,79.72085048010973,62.11301271501188,50.95707586225864,0.0005447900286699
2020-01-03,58.54348527478825,59.22329582572905,58.29447003125392,58.78503036499024,20538400,0.0,0.0,56.86685771942139,67.1038249457082,62.12665930980556,51.60705612903722,0.0005447900286699
2020-01-06,57.851217833353815,59.08384241453143,57.58975109197172,59.03154754638672,26263600,0.0,0.0,57.21946296691895,68.1579371899926,62.02567894011575,52.41324699372215,0.0005447900286699
2020-01-07,59.31542437030583,60.20441052544481,58.86470743213334,59.746219635009766,31485600,0.0,0.0,57.56509590148926,69.6022001161335,62.025040486989525,53.10515131598899,0.0005447900286699
2020-01-08,59.703891965580425,60.27164640301605,59.30297728128264,59.85828399658203,27710800,0.0,0.0,57.91633205413818,67.26662839420172,61.88692670628738,53.94573740198898,0.0005447900286699
2020-01-09,60.722361489463694,61.240309791178014,59.977804631284585,60.51567840576172,25511200,0.0,0.0,58.27790241241455,68.54253589687737,61.75936174278234,54.79644308204676,0.0005447900286699
2020-01-10,61.58893570016481,61.89273457688715,60.69746074384346,60.83940124511719,31629600,0.0,0.0,58.61382446289063,63.93967176953876,61.677942473067326,55.54970645271393,0.0005447900286699
2020-01-13,61.67110912070513,62.998360673947445,61.44450436290679,62.74685287475586,31984000,0.0,0.0,58.96132488250733,67.74567964365279,62.24856682087968,55.67408294413498,0.0005447900286699
2020-01-14,62.31854512786066,62.57254170613611,61.44450310806503,61.57648086547852,35908800,0.0,0.0,59.2513032913208,60.66028444721041,62.37490169409129,56.12770488855031,0.0005447900286699
2020-01-15,61.70347168951388,61.92758763825032,60.89168354547756,61.15066146850586,26310400,0.0,0.0,59.50554733276367,58.43654289948806,62.352977362669385,56.65811730285795,0.0005447900286699
2020-01-16,61.68605559518712,62.04712693347777,61.451980661494,61.98736190795898,28419200,0.0,0.0,59.76253147125245,61.07327566989167,62.5264587964238,56.998604146081085,0.0005447900286699
2020-01-17,62.17910987938623,62.25381521758159,61.598903865597805,62.07452392578125,25379200,0.0,0.0,60.00868396759033,64.77039845152783,62.66842335675829,57.34894457842237,0.0005447900286699
2020-01-21,61.70846390118295,62.07700537984204,61.39968744595677,61.74083709716797,21791600,0.0,0.0,60.16406955718994,70.12885845942343,62.84844202677021,57.47969708760967,0.0005447900286699
